Text,X.M.._twitter_id,X.M..language..,Not-related, other flood identification,rain identification,disaster management,flood identification,consequence score,irony(politics,emotional (positive or negative),effects on social life,situation overview,weather warning,flood aid,volunteers,timeperiod,X.M..posted_time..,daynight,timeperiod(hourly)
"Greece floods kill 4 people after heavy rain batters Thermaikos, Kalamata and Sparta https://t.co/EEcbnnpS8U #news ",7.73583231316816E+017,en,,N,Y,N,Y,5,N,N,N,Y,N,N,N,18,07/09/2016 18:06:29,day,19
"Greece floods kill 4 people after heavy rain batters Thermaikos, Kalamata and Sparta https://t.co/ekqjPrPuck https://t.co/LbaC68aanz ",7.73581707173769E+017,en,,N,Y,N,Y,5,N,N,N,Y,N,N,N,18,07/09/2016 18:00:26,day,18
"Greece floods kill 4 people after heavy rain batters Thermaikos, Kalamata and Sparta https://t.co/GPyf2waLWr ",7.73710141552112E+017,en,,N,Y,N,Y,5,N,N,N,Y,N,N,N,36,08/09/2016 02:30:47,night,27
"Greece floods kill 4 people after heavy rain batters Thermaikos, Kalamata and Sparta https://t.co/HKglpw4lKQ ",7.73654413827125E+017,en,,N,Y,N,Y,5,N,N,N,Y,N,N,N,24,07/09/2016 22:49:20,night,23
"Greece floods kill 4 people after heavy rain batters Thermaikos, Kalamata and Sparta https://t.co/jqFsd6zkNJ https://t.co/c1dEy7EwHM ",7.73580514145866E+017,en,,Y,Y,N,Y,5,N,N,N,Y,N,N,N,18,07/09/2016 17:55:41,day,18
"Greece floods kill 4 people after heavy rain batters Thermaikos, Kalamata and Sparta https://t.co/LBcuyffoo3 ",7.73590099036664E+017,en,,N,Y,N,Y,5,N,N,N,Y,N,N,N,18,07/09/2016 18:33:46,day,19
"Greece Floods Kill 4 People After Heavy Rain Batters Thermaikos, Kalamata And Sparta https://t.co/MCAUiF52SJ ",7.73582843859571E+017,en,,Y,Y,N,Y,5,N,N,N,Y,N,N,N,18,07/09/2016 18:04:57,day,19
"Greece floods kill 4 people after heavy rain batters Thermaikos, Kalamata and Sparta https://t.co/MGtdzbvVb1 ",7.73667218328551E+017,en,,Y,Y,N,Y,5,N,N,N,Y,N,N,N,24,07/09/2016 23:40:13,night,24
"Greece floods kill 4 people after heavy rain batters Thermaikos, Kalamata and Sparta https://t.co/Oci7A57ecu ",7.73590352267739E+017,en,,Y,Y,N,Y,5,N,N,N,Y,N,N,N,18,07/09/2016 18:34:47,day,19
"Greece floods kill 4 people after heavy rain batters Thermaikos, Kalamata and Sparta https://t.co/oSujH3KEIq ",7.7359150955588E+017,en,,Y,Y,N,Y,5,N,N,N,Y,N,N,N,18,07/09/2016 18:39:23,day,19
"Greece floods kill 4 people after heavy rain batters Thermaikos, Kalamata and Sparta https://t.co/PZNgFh9CO7 https://t.co/jL6hWq835J ",7.73581677394141E+017,en,,Y,Y,N,Y,5,N,N,N,Y,N,N,N,18,07/09/2016 18:00:19,day,18
"Greece floods kill 4 people after heavy rain batters Thermaikos, Kalamata and Sparta https://t.co/QlzoZkQCNF ",7.73581565662142E+017,en,,Y,Y,N,Y,5,N,N,N,Y,N,N,N,18,07/09/2016 17:59:52,day,18
"Greece floods kill 4 people after heavy rain batters Thermaikos, Kalamata and Sparta https://t.co/qs9oik5uQU ",7.73583315228041E+017,en,,Y,Y,N,Y,5,N,N,N,Y,N,N,N,18,07/09/2016 18:06:49,day,19
"Greece floods kill 4 people after heavy rain batters Thermaikos, Kalamata and Sparta https://t.co/RFBuviKHwH ",7.73625788025352E+017,en,,Y,Y,N,Y,5,N,N,N,Y,N,N,N,24,07/09/2016 20:55:35,night,21
"Greece floods kill 4 people after heavy rain batters Thermaikos, Kalamata and Sparta https://t.co/VdS8htnqvs ",7.73583483973362E+017,en,,Y,Y,N,Y,5,N,N,N,Y,N,N,N,18,07/09/2016 18:07:29,day,19
"Greece floods kill 4 people after heavy rain batters Thermaikos, Kalamata and Sparta https://t.co/VTa1luitYx https://t.co/1zZ39NWqnu ",7.7358166357391E+017,en,,Y,Y,N,Y,5,N,N,N,Y,N,N,N,18,07/09/2016 18:00:15,day,18
"Greece floods kill 4 people after heavy rain batters Thermaikos, Kalamata and Sparta https://t.co/vwKw0DyZXF ",7.73583056632422E+017,en,,Y,Y,N,Y,5,N,N,N,Y,N,N,N,18,07/09/2016 18:05:47,day,19
"Greece floods kill 4 people after heavy rain batters Thermaikos, Kalamata and Sparta: Two men and two w... https://t.co/dENFldw1BX (DMO) ",7.73590958969545E+017,en,,Y,Y,N,Y,5,N,N,N,Y,N,N,N,18,07/09/2016 18:37:11,day,19
"Greece floods kill 4 people after heavy rain batters Thermaikos, Kalamata and Sparta: Two men and two women a... https://t.co/6cG1bDHyPu ",7.73580530273005E+017,en,,Y,Y,N,Y,5,N,N,N,Y,N,N,N,18,07/09/2016 17:55:45,day,18
"Greece floods kill 4 people after heavy rain batters Thermaikos, Kalamata and Sparta: Two men and two women a... https://t.co/A5BPUrixEu ",7.73580537449493E+017,en,,Y,Y,N,Y,5,N,N,N,Y,N,N,N,18,07/09/2016 17:55:47,day,18
"Greece floods kill 4 people after heavy rain batters Thermaikos, Kalamata and Sparta: Two men and two women a... https://t.co/Bc3bxf8AGt ",7.73590894020702E+017,en,,Y,Y,N,Y,5,N,N,N,Y,N,N,N,18,07/09/2016 18:36:56,day,19
"Greece floods kill 4 people after heavy rain batters Thermaikos, Kalamata and Sparta: Two men and two women a... https://t.co/Q9fDswyvkS ",7.73590979848839E+017,en,,Y,Y,N,Y,5,N,N,N,Y,N,N,N,18,07/09/2016 18:37:16,day,19
"Greece floods kill 4 people after heavy rain batters Thermaikos, Kalamata and Sparta: Two men and two women a... https://t.co/tP3NpWlzXa ",7.73591163555033E+017,en,,Y,Y,N,Y,5,N,N,N,Y,N,N,N,18,07/09/2016 18:38:00,day,19
"Greece floods kill 4 people after heavy rain batters Thermaikos, Kalamata and Sparta: Two men and two women a... https://t.co/uUyAx1BQNm ",7.73590926794953E+017,en,,Y,Y,N,Y,5,N,N,N,Y,N,N,N,18,07/09/2016 18:37:04,day,19
"Greece floods kill 4 people after heavy rain batters Thermaikos, Kalamata and Sparta: Two… https://t.co/z4auPjl8Er ",7.73591000426148E+017,en,,Y,Y,N,Y,5,N,N,N,Y,N,N,N,18,07/09/2016 18:37:21,day,19
"GREECE- Due to flooding, Kalamata Airport is unavailable until midnight. https://t.co/mpXM4bHbQb ","7,7386835155898E+017",en,,N,N,Y,Y,3,N,N,Y,Y,N,N,N,36,08/09/2016 12:59:27,day,37
Greece: Kalamata Airport Closes due to Bad Weather https://t.co/Qk9A5eNIiw via @gtpgr #Kalamata ,7.73645460812796E+017,en,,N,Y,Y,N,3,N,N,Y,Y,N,N,N,24,07/09/2016 22:13:46,night,23
Greece: Kalamata Airport Closes due to Bad Weatherhttps://t.co/RyUpqyir3b https://t.co/9ti4XVYNG5 ,"7,73872572781961E+017",en,,N,Y,Y,N,3,N,N,Y,Y,N,N,N,48,08/09/2016 13:16:13,day,38
Greece: Weather disrupts flights at Kalamata International Airport ,"7,73880439006167E+017",en,,N,Y,Y,N,3,N,N,Y,Y,N,N,N,48,08/09/2016 13:47:29,day,38
"Heavy rain causes severe flash flooding in Greece, claims 4 lives https://t.co/C29JbFshP4 #flood #Greece ","7,73948299556512E+017",en,,Y,Y,N,Y,5,N,N,N,Y,N,N,N,48,08/09/2016 18:17:08,day,43
"Homeless in #Vancouver: Farewell to Broadway businesses, including Kalamata Greek Taverna https://t.co/wzGXXjTvgQ https://t.co/02MiAjOHe2 ","7,74030864825004E+017",en,,N,N,N,N,N,N,N,N,N,N,N,N,48,08/09/2016 23:45:13,night,48
Horrible flooding  #kalamata https://t.co/Mdu7p8ydPI ,7.73457411877302E+017,en,,N,N,N,Y,N,N,N,N,Y,N,N,N,12,07/09/2016 09:46:31,day,10
Hot News 24 GR: Έριξε σε μια μέρα τη βροχή ενός ολόκληρου μήνα... Αναμένεται νέο κύμα κακοκαιρίας!.. https://t.co/yRoIRXnoXC ,"7,73831404257968E+017",el,,N,Y,N,N,2,N,N,N,Y,N,N,N,36,08/09/2016 10:32:38,day,35
https://t.co/3PMc567cAt]Εικόνες Βιβλικής Καταστροφής Στην Καλαμάτα ...Τρεις Νεκροί ,7.73428089275748E+017,el,,N,N,N,N,5,N,N,N,Y,N,N,N,8,07/09/2016 07:50:00,day,8
https://t.co/fnh5tUyZ2lΤην έπεσαν σε Κωνσταντινέα στην Καλαμάτα: https://t.co/vFS3hHAt5l μέσω @YouTube ,7.73698114712703E+017,el,,N,N,Y,N,N,N,Neg,N,N,N,N,N,36,08/09/2016 01:42:59,night,26
https://t.co/rHBXeYXb2h | Φονική κακοκαιρία - Δυο οι επιβεβαιωμένοι νεκροί στην Καλαμάτα https://t.co/b4eckTANK4 ,7.73511786645496E+017,el,,N,N,N,N,5,N,N,N,Y,N,N,N,18,07/09/2016 13:22:35,day,14
https://t.co/TB46PWRbhy[Ελλάδα]Ενας Νεκρός Από Τη Θεομηνία Στην Καλαματα ,7.73405002962497E+017,el,,N,N,N,N,5,N,N,N,Y,N,N,N,6,07/09/2016 06:18:16,night,7
I liked a @YouTube video https://t.co/5jMJxmUN7r 2016 9 7 Πλημμύρες στη Σκάλα Απεγκλωβισμός ,"7,73930281774543E+017",el,,N,N,Y,Y,4,N,N,N,Y,N,N,N,48,08/09/2016 17:05:32,day,42
I liked a @YouTube video https://t.co/dVE5q0ZSSz 2016 9 7 Πλημμύρες στη Σκάλα ελικόπτερο ,"7,73935732826276E+017",el,,N,N,Y,Y,2,N,N,N,Y,N,N,N,48,08/09/2016 17:27:12,day,42
Kalamata airport flooded. Being flown to Athens and then bussed halfway across Greece. Arse. ,7.73771637158212E+017,en,,N,N,Y,Y,3,N,N,Y,Y,N,N,N,36,08/09/2016 06:35:08,night,31
Kalamata airport unavailable until midnight: flooding https://t.co/20T8UB90sG ,"7,73864312381247E+017",en,,N,N,Y,Y,3,N,N,Y,Y,N,N,N,36,08/09/2016 12:43:24,day,37
"Kalamata olives, so delicious, we're hungry just looking at these 😍😋 #italian #deli #retford… https://t.co/pcbCnIPCti ","7,73940362712711E+017",en,,N,N,N,N,N,N,N,N,N,N,N,N,48,08/09/2016 17:45:36,day,42
Kalamata: Three dead due to severe weather conditions https://t.co/CoIjTuduKM ,7.73431236681462E+017,en,,N,N,N,N,5,N,N,N,Y,N,N,N,8,07/09/2016 08:02:31,day,9
Kalamata: Three dead due to severe weather conditions https://t.co/T6T1gGgoeR https://t.co/lgVuippToT ,7.73575238256701E+017,en,,N,N,N,N,5,N,N,N,Y,N,N,N,18,07/09/2016 17:34:43,day,18
Kalamata: Three dead due to severe weather conditionshttps://t.co/Zz7BlwwvIR https://t.co/HTCFqw5xsF ,7.73516593259245E+017,en,,N,N,N,N,5,N,N,N,Y,N,N,N,18,07/09/2016 13:41:41,day,14
Keep a brolly close by (just in case) today Melbourne! https://t.co/0MwyKLkVuP ,7.73622277199966E+017,en,,N,N,N,N,N,N,N,N,N,N,N,N,24,07/09/2016 20:41:38,night,21
"Lluvias torrenciales en Grecia dejan al menos tres muertos en el sur, Kalamata https://t.co/FaitpMDVwu https://t.co/MtsO4qOeit ",7.73464544907817E+017,es,,N,Y,N,Y,5,N,N,N,Y,N,N,N,12,07/09/2016 10:14:52,day,11
Local authorities in the #Kalamata area say 7 villages are inaccessible now due to the floods. #Greece #GreeceFloods ,7.73430514149712E+017,en,,N,N,Y,Y,4,N,N,N,Y,N,N,N,8,07/09/2016 07:59:38,day,8
Lol I'm sure there are already on their way https://t.co/5zmwBQHwZo ,7.73611749249606E+017,en,,N,N,N,N,N,N,N,N,N,N,N,N,24,07/09/2016 19:59:48,night,20
"Mediterranean Oatmeal The rich, tangy flavors of kalamata olives, sun-dried tomatoes, and feta chees https://t.co/pR1GJ7Va4y ","7,73895107254817E+017",en,,N,N,N,N,N,N,N,N,N,N,N,N,48,08/09/2016 14:45:46,day,39
Muero por el hummus de kalamata!!! ¡¡¡MI PERDICIÓN!!! https://t.co/i6l4r8XGlD ,7.73553076686975E+017,es,,N,N,N,N,5,N,N,N,Y,N,N,N,18,07/09/2016 16:06:40,day,17
O ΛΕΒΕΝΤΗΣ ΤΗΛΕΦΩΝΗΣΕ ΣΤΟΝ ΤΣΙΠΡΑ ΚΑΙ ΖΗΤΗΣΕ ΝΑ ΠΑΝΕ ΥΠΟΥΡΓΟΙ ΣΤΗΝ ΚΑΛΑΜΑΤΑ https://t.co/xb0unrN9Pe ,7.73516537219027E+017,el,,N,N,Y,N,N,N,N,N,N,N,N,N,18,07/09/2016 13:41:28,day,14
O ΛΕΒΕΝΤΗΣ ΤΗΛΕΦΩΝΗΣΕ ΣΤΟΝ ΤΣΙΠΡΑ ΚΑΙ ΖΗΤΗΣΕ ΝΑ ΠΑΝΕ ΥΠΟΥΡΓΟΙ ΣΤΗΝ ΚΑΛΑΜΑΤΑ: Να μεταβεί… https://t.co/MLuG1hRYRr ,7.7351639382852E+017,el,,N,N,Y,N,N,N,N,N,N,N,N,N,18,07/09/2016 13:40:54,day,14
O σκύλος που γλύτωσε από τις πλημμύρες στη Λακωνία και κάθονταν δίπλα στο νεκρό αφεντικό του https://t.co/mg97x53lQd ,"7,74033735431827E+017",el,,N,N,N,Y,5,N,N,N,Y,N,N,N,48,08/09/2016 23:56:38,night,48
"O τραγικός απολογισμός της θεομηνίας που έπληξε από χτες την χώρα είναι τέσσερις νεκροί, οι τρεις από πλημμύρες... https://t.co/A8Pm24YSYA ",7.73571701670019E+017,el,,N,N,N,N,5,N,N,N,Y,N,N,N,18,07/09/2016 17:20:40,day,18
Oργή κατοίκων στη Καλαμάτα εναντίον του Σπίρτζη και του Τόσκα https://t.co/CbHBcbgAAV via @YouTube ,7.73599513160344E+017,el,,N,N,N,N,N,N,Neg,N,N,N,N,N,18,07/09/2016 19:11:11,day,20
Oργή κατοίκων στη Καλαμάτα εναντίον του Σπίρτζη και του Τόσκα https://t.co/S3QmBSzrio μέσω του χρήστη @YouTube ,"7,73860695431578E+017",el,,N,N,N,N,N,N,Neg,N,N,N,N,N,36,08/09/2016 12:29:02,day,37
"Pluies torrentielles meurtrières en Grèce: Au moins quatre personnes sont mortes près de Kalamata, deuxième v... https://t.co/hF8G4b1lXL ",7.73553508410806E+017,fr, ,N,N,N,N,5,N,N,N,Y,N,N,N,18,07/09/2016 16:08:22,day,17
"Pluies torrentielles meurtrières en Grèce: Au moins quatre personnes sont mortes près de Kalamata, deuxième v... https://t.co/Ss0Fc80Ylr ",7.73553506783367E+017,fr, ,N,N,N,N,5,N,N,N,Y,N,N,N,18,07/09/2016 16:08:22,day,17
Povera Grecia: devastante alluvione nel Peloponneso. Auto trascinate in mare https://t.co/dnV5OXwcit via @tuo-username-twitter ,"7,7391913516843E+017",it,,Y,Y,N,Y,4,N,N,N,Y,N,N,N,48,08/09/2016 16:21:15,day,41
Qualcuno ha notizia volo kalamata/roma della vuelig @kalamataairport  @vueling. Turisti bloccati senza nessuna comunicazione . ,"7,73935524121829E+017",it,,N,N,Y,N,3,N,N,Y,Y,N,N,N,48,08/09/2016 17:26:22,day,42
Rain on the way for Tasmania: Watch for any warnings particularly Flood Watches. https://t.co/mxzwdawoIT ,7.73381008401977E+017,en,,N,Y,N,N,N,N,N,N,N,N,N,N,6,07/09/2016 04:42:55,night,5
Retweeted NEWS 247 (@News247gr):Τέσσερις νεκροί και μία αγνοούμενη από την κακοκαιρία σε Καλαμάτα και... https://t.co/JnlZ1gzt46 ,7.73549951456416E+017,el,,N,N,N,N,5,N,N,N,Y,N,N,N,18,07/09/2016 15:54:14,day,16
RT @ai_Dimitris: Αγωνία για το έργο που έφτιαξε ο Σαμαράς στη Καλαμάτα https://t.co/j2ewUs565f https://t.co/4r0nSMngzL ,7.73618854694093E+017,el,,N,N,Y,N,N,N,N,N,N,N,N,N,24,07/09/2016 20:28:02,night,21
RT @Akirikas: Μεγάλες καταστροφές στην Καλαμάτα από τη φονική κακοκαιρία - https://t.co/1IlQih4mVu https://t.co/zvQ1oCJzWE ,7.73479926079029E+017,el,,N,N,N,N,5,N,N,N,Y,N,N,N,12,07/09/2016 11:15:59,day,12
"RT @AlbaFerrs: En Kalamata, ciudad al sur del Peloponeso, las autoridades han confirmado la muerte de tres personas.Creo que podéis imagin… ","7,73959477045371E+017",es,,N,N,N,N,5,N,N,N,Y,N,N,N,48,08/09/2016 19:01:33,day,44
RT @AlexandrosFL350: Πλημμυρισε το αεροδρομιο στην Καλαματα. Αυτο που η ΝΔ ηθελε να κανει κοσμοδρομιο Καλαματουρ. Τοσο καλο ηταν! ,"7,73852539313938E+017",el,,N,N,N,Y,3,N,N,N,Y,N,N,N,36,08/09/2016 11:56:37,day,36
RT @AntennaNews: Νεκροί από την κακοκαίρια - Συναγερμός στην Καλαμάτα https://t.co/ceouwRUb7L via @AntennaNews ,7.73430815975957E+017,el,,N,N,N,N,5,N,N,N,Y,N,N,N,8,07/09/2016 08:00:50,day,8
"RT @antinewsgr: Σαμαράς από Καλαμάτα: Είναι πραγματική τραγωδία, αλλά θα τα καταφέρουμε https://t.co/Nd78PZhWGo ","7,73943086233883E+017",el,,N,N,Y,N,N,N,N,N,N,N,N,N,48,08/09/2016 17:56:25,day,42
"RT @antinewsgr: Σαμαράς από Καλαμάτα: Είναι πραγματική τραγωδία, αλλά θα τα καταφέρουμε https://t.co/ohiMYIaXl4 ","7,73872086456623E+017",el,,N,N,Y,N,N,N,N,N,N,N,N,N,36,08/09/2016 13:14:17,day,38
RT @antinewsgr: Στην Καλαμάτα ο Σαμαράς https://t.co/4WjNlpek2W ,7.73519958928159E+017,el,,N,N,Y,N,N,N,N,N,N,N,N,N,18,07/09/2016 13:55:04,day,14
RT @antones_fubar: όλη η Καλαμάτα χτισμένη πάνω σε ρέματα και τα μοσχάρια μιλάνε για θεομηνία .. ,7.73526814924927E+017,el,,N,N,N,N,N,N,N,N,N,N,N,N,18,07/09/2016 14:22:18,day,15
RT @antones_fubar: όλη η Καλαμάτα χτισμένη πάνω σε ρέματα και τα μοσχάρια μιλάνε για θεομηνία .. ,7.73530670425575E+017,el,,N,N,N,N,N,N,N,N,N,N,N,N,18,07/09/2016 14:37:37,day,15
RT @antones_fubar: όλη η Καλαμάτα χτισμένη πάνω σε ρέματα και τα μοσχάρια μιλάνε για θεομηνία .. ,7.73535325209649E+017,el,,N,N,N,N,N,N,N,N,N,N,N,N,18,07/09/2016 14:56:07,day,15
RT @Aph_Kay: οχι οτι χτιζανε πανω στα ρεματα κ διπλα στο κυμα; https://t.co/ymCw9pSTsi ,"7,73837205672526E+017",el,,N,N,N,N,N,N,N,N,N,N,N,N,36,08/09/2016 10:55:41,day,35
RT @Aph_Kay: οχι οτι χτιζανε πανω στα ρεματα κ διπλα στο κυμα; https://t.co/ymCw9pSTsi ,"7,73839161635766E+017",el,,N,N,N,N,N,N,N,N,N,N,N,N,36,08/09/2016 11:03:28,day,36
RT @Aph_Kay: οχι οτι χτιζανε πανω στα ρεματα κ διπλα στο κυμα; https://t.co/ymCw9pSTsi ,"7,73916533005423E+017",el,,N,N,N,N,N,N,N,N,N,N,N,N,48,08/09/2016 16:10:54,day,41
RT @Aph_Kay: οχι οτι χτιζανε πανω στα ρεματα κ διπλα στο κυμα; https://t.co/ymCw9pSTsi ,"7,7391665255567E+017",el,,N,N,N,N,N,N,N,N,N,N,N,N,48,08/09/2016 16:11:23,day,41
RT @Aph_Kay: που παρκαρες στη Στουπα διπλα στη παραλια πανω στον χειμαρο φταιει η κλιματικη αλλαγη #Καλαματα ,"7,73916309306348E+017",el,,N,N,N,N,N,N,N,N,N,N,N,N,48,08/09/2016 16:10:01,day,41
RT @Aph_Kay: που παρκαρες στη Στουπα διπλα στη παραλια πανω στον χειμαρο φταιει η κλιματικη αλλαγη #Καλαματα ,"7,73917625772573E+017",el,,N,N,N,N,N,N,N,N,N,N,N,N,48,08/09/2016 16:15:15,day,41
RT @aroumel: Μόλις γύρισα από την Καλαμάτα: Η εκδίκηση της φύσης για την καταστροφή των υδραγωγών. Tου Ηλία Μπιτσάνη... https://t.co/pNyi7o… ,7.73600120344547E+017,el,,N,N,Y,N,N,N,N,N,N,N,N,N,18,07/09/2016 19:13:36,day,20
RT @aroumel: Μόλις γύρισα από την Καλαμάτα: Η εκδίκηση της φύσης για την καταστροφή των υδραγωγών. Tου Ηλία Μπιτσάνη... https://t.co/pNyi7o… ,7.73600396896002E+017,el,,N,N,Y,N,N,N,N,N,N,N,N,N,18,07/09/2016 19:14:42,day,20
RT @aroumel: Μόλις γύρισα από την Καλαμάτα: Η εκδίκηση της φύσης για την καταστροφή των υδραγωγών. Tου Ηλία Μπιτσάνη... https://t.co/pNyi7o… ,7.736014261405E+017,el,,N,N,N,N,N,N,N,N,N,N,N,N,24,07/09/2016 19:18:47,day,20
RT @aroumel: Μόλις γύρισα από την Καλαμάτα: Η εκδίκηση της φύσης για την καταστροφή των υδραγωγών. Tου Ηλία Μπιτσάνη... https://t.co/pNyi7o… ,7.73602522170794E+017,el,,N,N,N,N,N,N,N,N,Y,N,N,N,24,07/09/2016 19:23:08,day,20
RT @aroumel: Μόλις γύρισα από την Καλαμάτα: Η εκδίκηση της φύσης για την καταστροφή των υδραγωγών. Tου Ηλία Μπιτσάνη... https://t.co/pNyi7o… ,7.73659298102669E+017,el,,N,N,N,N,N,N,N,N,N,N,N,N,24,07/09/2016 23:08:45,night,24
RT @aroumel: Μόλις γύρισα από την Καλαμάτα: Η εκδίκηση της φύσης για την καταστροφή των υδραγωγών. Tου Ηλία Μπιτσάνη... https://t.co/pNyi7o… ,7.73660062745231E+017,el,,N,N,N,N,N,N,N,N,N,N,N,N,24,07/09/2016 23:11:47,night,24
RT @AvgiOnline: Ενισχύσεις από την Αθήνα στη Λακωνία για τις πλημμύρες https://t.co/EWw7OMKZGJ ,7.73517815043293E+017,el,,N,N,Y,Y,N,N,N,N,Y,N,N,N,18,07/09/2016 13:46:33,day,14
RT @AvgiOnline: Ενισχύσεις από την Αθήνα στη Λακωνία για τις πλημμύρες https://t.co/EWw7OMKZGJ ,7.73520776393789E+017,el,,N,N,Y,Y,N,N,N,N,Y,N,N,N,18,07/09/2016 13:58:19,day,14
RT @AvgiOnline: Ενισχύσεις από την Αθήνα στη Λακωνία για τις πλημμύρες https://t.co/EWw7OMKZGJ ,7.73691781376606E+017,el,,N,N,Y,Y,N,N,N,N,Y,N,N,N,36,08/09/2016 01:17:49,night,26
RT @AvgiOnline: Καλαμάτα: Έκλεισε το αεροδρόμιο της πόλης και ο αρχαιολογικός χώρος της Μεσσήνης https://t.co/eaajwgBbFf ,7.73584339607118E+017,el,,N,N,Y,N,3,N,N,Y,Y,N,N,N,18,07/09/2016 18:10:53,day,19
RT @BCDemea: Greece: Weather disrupts flights at Kalamata International Airport ,"7,73918953261249E+017",en,,N,N,Y,N,3,N,N,Y,Y,N,N,N,48,08/09/2016 16:20:31,day,41
RT @BestTvKalamata: Μεγάλες καταστροφές στην Καλαμάτα (video-pics) διαβάστε https://t.co/adDMO0GwRb ,7.73381906415125E+017,el,,N,N,N,N,4,N,N,N,Y,N,N,N,6,07/09/2016 04:46:29,night,5
RT @Bizznews: Φονική κακοκαιρία - Τρεις νεκροί στην Καλαμάτα! Αγνοείται και μια γυναίκα - Εικόνες βι ... - https://t.co/cnUL8xFykj https://… ,7.73415545639231E+017,el,,N,N,N,N,5,N,N,N,Y,N,N,N,6,07/09/2016 07:00:10,night,7
RT @BlokoGr: Φονική κακοκαιρία - Δυο οι επιβεβαιωμένοι νεκροί στην Καλαμάτα - Εικόνες βιβλικής καταστροφής... https://t.co/cvUar8vdTW ,7.73479861402952E+017,el,,N,N,N,N,5,N,N,N,Y,N,N,N,12,07/09/2016 11:15:44,day,12
RT @briefingnews: Τραγωδία από την κακοκαιρία: Τρεις νεκροί και μία αγνοούμενη στην Καλαμάτα. Σε έκτακτο δελτίο της ΕΜΥ https://t.co/Jeh4CU… ,7.73418648732111E+017,el,,N,N,N,N,5,N,N,N,Y,N,N,N,6,07/09/2016 07:12:29,day,8
"RT @burg2112: Κλείσανε την Εθνική οδό για Καλαμάτα &amp; μας πάνε απ'τον παλιό,που είναι σαν χωματόδρομος του '60 απο τις λάσπες.... ",7.73455419528376E+017,el,,N,N,Y,N,3,N,N,N,Y,N,N,N,12,07/09/2016 09:38:36,day,10
"RT @burg2112: Κλείσανε την Εθνική οδό για Καλαμάτα &amp; μας πάνε απ'τον παλιό,που είναι σαν χωματόδρομος του '60 απο τις λάσπες.... ",7.7345571704295E+017,el,,N,N,Y,N,3,N,N,N,Y,N,N,N,12,07/09/2016 09:39:47,day,10
"RT @burg2112: Κλείσανε την Εθνική οδό για Καλαμάτα &amp; μας πάνε απ'τον παλιό,που είναι σαν χωματόδρομος του '60 απο τις λάσπες.... ",7.73458210464342E+017,el,,N,N,Y,N,3,N,N,Y,Y,N,N,N,12,07/09/2016 09:49:42,day,10
"RT @burg2112: Κλείσανε την Εθνική οδό για Καλαμάτα &amp; μας πάνε απ'τον παλιό,που είναι σαν χωματόδρομος του '60 απο τις λάσπες.... ",7.73507080976208E+017,el,,N,N,Y,N,3,N,N,Y,Y,N,N,N,12,07/09/2016 13:03:53,day,14
RT @capitalcontrol2: Ο Λεβέντης πήρε τηλέφωνο τον Τσίπρα και ζήτησε να πάνε υπουργοί στην Καλαμάτα...Που να βρουν καιρό ετοιμάζουν σανό γι… ,7.73466628101116E+017,el,,N,N,Y,N,N,N,N,N,N,N,N,N,12,07/09/2016 10:23:09,day,11
RT @capitalcontrol2: Ο Λεβέντης πήρε τηλέφωνο τον Τσίπρα και ζήτησε να πάνε υπουργοί στην Καλαμάτα...Που να βρουν καιρό ετοιμάζουν σανό γι… ,7.73553927002391E+017,el,,N,N,Y,N,N,N,N,N,N,N,N,N,18,07/09/2016 16:10:02,day,17
RT @capitalcontrol2: Ο Λεβέντης πήρε τηλέφωνο τον Τσίπρα και ζήτησε να πάνε υπουργοί στην Καλαμάτα...Που να βρουν καιρό ετοιμάζουν σανό γι… ,7.73576592580813E+017,el,,N,N,Y,N,N,N,N,N,N,N,N,N,18,07/09/2016 17:40:06,day,18
RT @capitalcontrol2: Προσπαθώ να θυμηθώ αν πήγε πρόσφατα ο Τσίπρας Καλαμάτα.Δεν εξηγείται αλλιώς τέτοια πλημμύρα. ,7.73443176644375E+017,el,,N,N,N,N,N,Y,N,N,N,N,N,N,8,07/09/2016 08:49:57,day,9
RT @chematierra: Fuertes lluvias e inundaciones dejan al menos 3 muertos en #Kalamata #Grecia Vía @Cieminfo https://t.co/2ZLPKzt0Ej https… ,"7,7385555175107E+017",es,,N,Y,N,Y,5,N,N,N,Y,N,N,N,36,08/09/2016 12:08:35,day,37
RT @chematierra: Fuertes lluvias e inundaciones dejan al menos 3 muertos en #Kalamata #Grecia Vía @Cieminfo https://t.co/2ZLPKzt0Ej https… ,"7,73855830235984E+017",es,,N,Y,N,Y,5,N,N,N,Y,N,N,N,36,08/09/2016 12:09:42,day,37
RT @chematierra: Fuertes lluvias e inundaciones dejan al menos 3 muertos en #Kalamata #Grecia Vía @Cieminfo https://t.co/2ZLPKzt0Ej https… ,"7,73857071708058E+017",es,,N,Y,N,Y,5,N,N,N,Y,N,N,N,36,08/09/2016 12:14:38,day,37
RT @chematierra: Fuertes lluvias e inundaciones dejan al menos 3 muertos en #Kalamata #Grecia Vía @Cieminfo https://t.co/2ZLPKzt0Ej https… ,"7,73857500152029E+017",es,,N,Y,N,Y,5,N,N,N,Y,N,N,N,36,08/09/2016 12:16:20,day,37
